clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.303_score10706.wav,0.303,260.0,10706.35,11283.52,22747,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates/freesound_crunchpixstudio-rpg-sword-attack-combo-12-388934/01_t0000.303_score10706.wav
02_t0000.467_score6545.wav,0.467,260.0,6544.51,7655.21,21823,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates/freesound_crunchpixstudio-rpg-sword-attack-combo-12-388934/02_t0000.467_score6545.wav
03_t0000.563_score8455.wav,0.563,260.0,8455.46,11460.03,22604,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates/freesound_crunchpixstudio-rpg-sword-attack-combo-12-388934/03_t0000.563_score8455.wav
