clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.484_score3566.wav,0.484,120.0,3565.80,2597.95,6820,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/eating/01_t0000.484_score3566.wav
02_t0000.923_score3449.wav,0.923,120.0,3449.43,2536.90,6446,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/eating/02_t0000.923_score3449.wav
03_t0001.088_score3019.wav,1.088,120.0,3019.22,2324.43,6583,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/eating/03_t0001.088_score3019.wav
04_t0001.267_score6594.wav,1.267,120.0,6593.59,4995.34,12735,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/eating/04_t0001.267_score6594.wav
05_t0001.332_score5815.wav,1.332,120.0,5815.30,3307.15,20623,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/eating/05_t0001.332_score5815.wav
06_t0001.442_score3500.wav,1.442,62.9,3499.76,2255.55,9992,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/eating/06_t0001.442_score3500.wav
