clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.024_score19450.wav,0.024,130.0,19449.99,15041.59,32768,/Users/castao/Desktop/KeyboardSoundApp/bubble_candidates/dragon-studio-bubble-pop-406640/01_t0000.024_score19450.wav
02_t0000.088_score18542.wav,0.088,130.0,18542.29,16547.88,32767,/Users/castao/Desktop/KeyboardSoundApp/bubble_candidates/dragon-studio-bubble-pop-406640/02_t0000.088_score18542.wav
03_t0000.152_score17396.wav,0.152,79.0,17395.78,15620.76,32768,/Users/castao/Desktop/KeyboardSoundApp/bubble_candidates/dragon-studio-bubble-pop-406640/03_t0000.152_score17396.wav
