clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.485_score3646.wav,0.485,171.6,3646.02,2724.75,6820,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/01_t0000.485_score3646.wav
02_t0000.548_score2934.wav,0.548,108.8,2934.18,1714.93,10307,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/02_t0000.548_score2934.wav
03_t0000.925_score3452.wav,0.925,220.0,3452.03,2557.56,6446,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/03_t0000.925_score3452.wav
04_t0001.087_score3139.wav,1.087,180.6,3139.13,2456.05,6583,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/04_t0001.087_score3139.wav
05_t0001.154_score3065.wav,1.154,113.3,3065.40,1716.99,10566,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/05_t0001.154_score3065.wav
06_t0001.266_score6596.wav,1.266,220.0,6595.94,4968.02,12735,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/06_t0001.266_score6596.wav
07_t0001.333_score5886.wav,1.333,171.6,5886.04,3403.26,20623,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/07_t0001.333_score5886.wav
08_t0001.441_score3326.wav,1.441,63.9,3326.10,1918.82,9992,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/eating/08_t0001.441_score3326.wav
