clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.116_score5496.wav,0.116,240.0,5496.24,7129.11,14632,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates/freesound_crunchpixstudio-rpg-sword-attack-combo-22-388940/01_t0000.116_score5496.wav
02_t0000.283_score4889.wav,0.283,240.0,4888.84,5440.84,14935,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates/freesound_crunchpixstudio-rpg-sword-attack-combo-22-388940/02_t0000.283_score4889.wav
03_t0000.379_score7240.wav,0.379,229.5,7240.35,9129.84,17870,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates/freesound_crunchpixstudio-rpg-sword-attack-combo-22-388940/03_t0000.379_score7240.wav
