clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.310_score11185.wav,0.310,180.0,11185.39,8797.57,21878,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/beanfrog-proud-fart-288263/01_t0000.310_score11185.wav
02_t0000.400_score5608.wav,0.400,180.0,5608.49,5640.82,21812,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/beanfrog-proud-fart-288263/02_t0000.400_score5608.wav
03_t0000.825_score5510.wav,0.825,180.0,5510.48,6333.45,18881,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/beanfrog-proud-fart-288263/03_t0000.825_score5510.wav
