clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.028_score3549.wav,0.028,159.7,3548.55,2251.85,7444,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-material-level-complete-394521/01_t0000.028_score3549.wav
02_t0000.204_score2643.wav,0.204,107.8,2642.86,2079.88,5151,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-material-level-complete-394521/02_t0000.204_score2643.wav
03_t0000.375_score3421.wav,0.375,91.8,3421.49,2517.87,6200,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-material-level-complete-394521/03_t0000.375_score3421.wav
04_t0000.551_score6076.wav,0.551,240.0,6075.81,4360.80,13234,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-material-level-complete-394521/04_t0000.551_score6076.wav
