clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.644_score77.wav,0.644,47.9,76.99,83.90,128,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/wood/01_t0000.644_score77.wav
02_t0000.738_score4235.wav,0.738,47.9,4234.83,3376.88,6879,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/wood/02_t0000.738_score4235.wav
03_t0000.798_score88.wav,0.798,47.9,88.00,159.00,352,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/wood/03_t0000.798_score88.wav
04_t0000.983_score67.wav,0.983,47.9,66.65,74.56,107,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/wood/04_t0000.983_score67.wav
05_t0001.222_score70.wav,1.222,47.9,69.81,71.98,105,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/wood/05_t0001.222_score70.wav
