clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.024_score29375.wav,0.024,167.7,29375.21,28304.02,32768,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/dragon-studio-hard-punch-sfx-515251/01_t0000.024_score29375.wav
02_t0000.104_score17491.wav,0.104,167.7,17491.42,32483.26,32768,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/dragon-studio-hard-punch-sfx-515251/02_t0000.104_score17491.wav
03_t0000.204_score22189.wav,0.204,139.7,22189.32,32117.33,32768,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/dragon-studio-hard-punch-sfx-515251/03_t0000.204_score22189.wav
