clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.132_score4874.wav,0.132,240.0,4874.36,2749.49,16099,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-get-item-394523/01_t0000.132_score4874.wav
02_t0000.223_score3864.wav,0.223,240.0,3863.70,3236.66,11102,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-get-item-394523/02_t0000.223_score3864.wav
03_t0000.315_score2392.wav,0.315,240.0,2392.08,2068.09,7662,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-get-item-394523/03_t0000.315_score2392.wav
04_t0000.419_score2641.wav,0.419,240.0,2640.74,2444.59,7949,/Users/castao/Desktop/KeyboardSoundApp/stars_candidates/freesound_crunchpixstudio-get-item-394523/04_t0000.419_score2641.wav
