clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.615_score9769.wav,0.615,180.0,9768.56,7496.34,29416,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/apebble-fart-5-228245/01_t0000.615_score9769.wav
02_t0000.770_score8476.wav,0.770,180.0,8475.58,7067.84,26743,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/apebble-fart-5-228245/02_t0000.770_score8476.wav
03_t0000.830_score8555.wav,0.830,180.0,8555.00,6782.21,27215,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/apebble-fart-5-228245/03_t0000.830_score8555.wav
04_t0000.960_score8756.wav,0.960,180.0,8755.68,6356.75,27834,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/apebble-fart-5-228245/04_t0000.960_score8756.wav
