clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.489_score935.wav,0.489,120.0,935.12,583.53,2534,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/sand/01_t0000.489_score935.wav
02_t0000.574_score448.wav,0.574,120.0,448.10,398.11,1610,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/sand/02_t0000.574_score448.wav
03_t0000.673_score473.wav,0.673,57.9,473.25,309.53,1893,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates/sand/03_t0000.673_score473.wav
