clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.642_score72.wav,0.642,59.4,72.21,77.17,128,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/wood/01_t0000.642_score72.wav
02_t0000.736_score4738.wav,0.736,59.4,4737.60,4045.51,6879,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/wood/02_t0000.736_score4738.wav
03_t0000.781_score132.wav,0.781,59.4,132.00,252.31,528,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/wood/03_t0000.781_score132.wav
04_t0000.983_score66.wav,0.983,59.4,65.60,74.45,107,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/wood/04_t0000.983_score66.wav
05_t0001.221_score65.wav,1.221,59.4,64.61,68.43,96,/Users/castao/Desktop/KeyboardSoundApp/farming_candidates_second_pass/wood/05_t0001.221_score65.wav
