clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.287_score12997.wav,0.287,175.6,12996.85,12442.10,23486,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/01_t0000.287_score12997.wav
02_t0002.123_score13418.wav,2.123,183.6,13418.38,13319.83,21216,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/02_t0002.123_score13418.wav
03_t0003.133_score11706.wav,3.133,143.7,11705.98,12096.42,17817,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/03_t0003.133_score11706.wav
04_t0005.064_score11073.wav,5.064,135.7,11072.54,12280.04,15725,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/04_t0005.064_score11073.wav
05_t0006.832_score10505.wav,6.832,195.6,10504.67,8977.23,20920,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/05_t0006.832_score10505.wav
06_t0008.784_score11480.wav,8.784,171.7,11480.31,13277.72,16180,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/06_t0008.784_score11480.wav
07_t0010.484_score13328.wav,10.484,171.7,13328.21,9293.78,30023,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/07_t0010.484_score13328.wav
08_t0012.348_score11206.wav,12.348,183.6,11206.31,11486.25,16347,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/08_t0012.348_score11206.wav
09_t0017.157_score13524.wav,17.157,90.0,13524.41,12536.49,17617,/Users/castao/Desktop/KeyboardSoundApp/battle_candidates_v2/storegraphic-punch-and-hits-310521/09_t0017.157_score13524.wav
