clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.104_score4795.wav,0.104,130.0,4795.36,3088.63,10349,/Users/castao/Desktop/KeyboardSoundApp/bubble_candidates/freesound_community-sci-fi-bubble-pop-89059/01_t0000.104_score4795.wav
02_t0000.268_score5701.wav,0.268,130.0,5701.13,4457.93,11457,/Users/castao/Desktop/KeyboardSoundApp/bubble_candidates/freesound_community-sci-fi-bubble-pop-89059/02_t0000.268_score5701.wav
03_t0000.328_score3391.wav,0.328,130.0,3391.00,3246.46,6373,/Users/castao/Desktop/KeyboardSoundApp/bubble_candidates/freesound_community-sci-fi-bubble-pop-89059/03_t0000.328_score3391.wav
