clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0000.215_score4929.wav,0.215,180.0,4929.04,4330.34,10057,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/freesound_community-farts-2-38757/01_t0000.215_score4929.wav
02_t0000.370_score5545.wav,0.370,180.0,5544.81,4680.12,17405,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/freesound_community-farts-2-38757/02_t0000.370_score5545.wav
03_t0000.455_score8257.wav,0.455,115.0,8256.65,7863.37,21063,/Users/castao/Desktop/KeyboardSoundApp/fart_candidates/freesound_community-farts-2-38757/03_t0000.455_score8257.wav
